Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield
AMZN,,3305.0,12140.264668181819,2.673302471461972,111.6140909090909,0.0
AAPL,,136.01,213.59021320754715,0.5704008029376308,15.903962264150945,0.6
GOOGL,,2086.48,5121.397975,1.4545636550554042,27.959807692307688,0.0
MSFT,,243.77,444.51127499999996,0.8234863806046681,19.651249999999997,0.92
FB,,271.87,1781.5259874999997,5.552859776731525,51.833749999999995,0.0
BRK.A,,361290.01,1487990.5929166668,3.118548954388932,16.159583333333334,0.0
JNJ,,166.81,395.50995849056596,1.3710206731644743,15.437547169811317,2.45
JPM,,139.58,293.11574259259254,1.0999838271428035,10.110925925925924,2.57
BRK.B,,239.91,991.5588333333336,3.133045030775431,16.14916666666667,0.0
WMT,,144.13,324.69540000000006,1.2527953930479434,13.735000000000003,1.49
V,,206.52,599.1086204081632,1.9009714333147552,29.196326530612243,0.62
NVDA,,590.57,595.5017039999999,0.008350752662681569,27.801199999999998,0.11
MA,,333.44,724.2619428571428,1.1720907595283794,27.51755102040816,0.52
PG,,128.67,264.16012222222224,1.0530047580805337,16.740185185185187,2.45
UNH,,329.63,897.4621189655173,1.722634829856255,14.198103448275864,1.54
PYPL,,284.2,405.73405625000004,0.4276356659042929,47.014375,0.0
HD,,276.77,727.8574448275863,1.6298278166982922,17.01396551724138,2.14
BAC,,32.95,112.17999999999998,2.4045523520485577,14.363636363636363,2.18
NFLX,,563.59,2743.5823578947366,3.868046554933083,118.46210526315788,0.0
INTC,,58.86,240.12173888888884,3.079540246158492,11.639444444444443,2.35
CMCSA,,52.72,151.1740075471698,1.8674887622756031,15.879622641509433,1.77
ADBE,,496.05,1332.023466666667,1.685260491213924,40.41333333333334,0.0
VZ,,55.0,186.18324374999997,2.385149886363636,11.195625,4.56
AMD,,90.91,177.87950000000006,0.9566549334506663,47.561363636363645,0.0
ZM,,430.03,1327.13556,2.0861464548984956,539.486,0.0
GM,,54.88,107.56162941176471,0.9599422268907564,9.664117647058823,0.0
MMM,,180.94,550.8814206896553,2.044553004806319,15.685689655172416,3.25
ABT,,125.15,153.27031886792457,0.22469291944006844,22.18094339622642,1.45
ABBV,,105.4,354.31672222222227,2.361638730761122,19.761111111111113,4.87
ACN,,256.94,545.7726,1.1241246983731612,17.425689655172413,1.37
ABMD,,324.48,1356.7784999999997,3.1813933062130166,80.61666666666666,0.0
ATVI,,102.73,272.02472,1.647957948019079,28.938799999999997,0.41
AAP,,161.86,482.77065263157886,1.982643350003576,18.77754385964912,0.63
AFL,,46.25,187.21781379310343,3.047952730661696,9.498620689655171,2.42
A,,123.24,198.47275000000002,0.6104572379097698,21.81019230769231,0.63
AKAM,,117.97,423.61019999999996,2.590829872001356,33.54,0.0
APD,,253.58,562.4044377358491,1.2178580240391554,17.482264150943397,2.11
ALB,,158.69,257.9142382978723,0.6252708948129833,14.746382978723405,0.95
ARE,,172.91,461.4985102040816,1.6690099485517411,37.52020408163265,2.56
ALXN,,155.27,1208.5172000000002,6.783327107618987,63.87511627906977,0.0
ALGN,,615.0,3030.509086956521,3.927657051961823,34.52391304347825,0.0
ALLE,,117.91,399.9678,2.39214485624629,28.61,1.09
LNT,,48.84,149.21568421052632,2.0551941894047157,14.701052631578946,3.28
GOOG,,2095.38,5076.922890000001,1.422912736591931,27.717000000000002,0.0
ALL,,107.88,508.3564764705882,3.7122402342472025,10.466470588235293,2.01
AMCR,,11.43,44.063280000000006,2.855055118110237,38.652,4.1
AEE,,73.44,213.83430612244896,1.9116871748699478,16.017551020408163,2.84
AEP,,80.01,190.1204867924528,1.3762090587733131,12.393773584905658,3.66
AXP,,126.68,232.24080600000002,0.8332870697821283,13.324200000000001,1.34
AMT,,231.66,856.9583058823531,2.699207052932544,50.290980392156875,2.08
AWK,,164.81,328.27458409090906,0.991836563866932,23.29840909090909,1.36
AMP,,214.66,832.0694134615385,2.8762201316572185,11.794038461538463,1.95
AMGN,,236.65,659.3224615384615,1.7860657576102326,14.043076923076923,2.69
APH,,132.21,279.32318461538455,1.1127235807834848,20.226153846153842,0.88
AME,,120.48,280.94915,1.3319152556440899,19.322499999999998,0.6
ADI,,152.85,254.84597894736845,0.6672945956648247,20.420350877192984,1.62
ANSS,,386.39,653.9074423076923,0.6923508432094319,34.39807692307693,0.0
ANTM,,298.17,892.9953448275862,1.9949201624160249,11.66551724137931,1.32
AON,,228.45,579.0149785714286,1.5345370040333932,20.416607142857142,0.82
AOS,,61.32,132.6365789473684,1.1630231400418853,18.44736842105263,1.69
AMAT,,105.38,208.47552340425534,0.9783215354360918,15.419787234042555,0.83
APTV,,149.89,394.6596484848485,1.6329951863689942,14.064848484848484,0.0
ADM,,54.48,139.1402472727273,1.553969296489121,13.07709090909091,2.76
ANET,,318.55,1396.4533375,3.383780685920578,35.92625,0.0
AIZ,,136.13,258.9420166666667,0.9021671686378219,10.651666666666667,1.95
T,,28.55,81.25212931034483,1.8459589951084003,12.876724137931035,7.23
ATO,,89.6,267.70579482758615,1.9877878887007385,15.031206896551721,2.81
AJG,,117.17,269.71527857142866,1.3019141296528858,18.27339285714286,1.53
ADP,,167.38,454.8624758620691,1.7175437678460337,19.725172413793107,2.22
AVB,,173.83,482.02522000000005,1.7729691077489504,24.9754,3.67
AZO,,1212.67,4392.387046551724,2.6220794169491484,15.841551724137933,0.0
AVY,,174.63,404.3359411764705,1.3153864809967961,17.060588235294112,1.42
BLL,,88.79,120.23751111111113,0.3541785236075135,23.48388888888889,0.67
BK,,41.96,201.6495,3.805755481410867,11.931923076923077,2.96
