Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
NTRS,,96.8,362.9089655172413,2.749059561128526,15.475862068965515,2.87,NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,0000073124,"1889
"
NLOK,,21.65,141.06832325581397,5.5158578871045725,7.876511627906978,2.43,NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,0000849399,"1982
"
NRG,,43.08,741.1417411764705,16.203847288218903,11.565882352941177,3.09,NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,0001013871,"1992
"
NUE,,54.68,126.0363924528302,1.3049815737532957,18.727547169811324,3.02,NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,0000073309,"1940
"
NVR,,4699.74,15644.644446428567,2.3288319027070794,19.65160714285714,0.0,NVR,"NVR, Inc.",reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,0000906163,"1980
"
ORLY,,453.27,1675.0907672727276,2.6955694558932377,21.341454545454553,0.0,ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,0000898173,"1957
"
ODFL,,208.99,399.676375,0.9124186563950428,20.6125,0.28,ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,0000878927,"1934
"
OKE,,43.36,132.94158070175436,2.065995864892859,16.76438596491228,8.61,OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,0001039684,"1906
"
OMC,,66.74,263.72975454545457,2.9515995586672847,12.648909090909092,3.9,OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,0000029989,"1986
"
ORCL,,63.67,213.9708092592593,2.3606221023913823,16.755740740740745,1.52,ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Austin, Texas",1989-08-31,0001341439,"1977
"
PCAR,,99.41,221.7107142857143,1.2302657105493844,12.669183673469385,1.32,PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,"0000075362
","1905
"
PH,,275.66,538.4736160714285,0.9533977220903594,14.895535714285714,1.26,PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,0000076334,"1917
"
PKG,,133.79,262.74375,0.9638519321324464,12.65625,3.01,PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,0000075677,"1959
"
PAYX,,90.89,235.9632206896552,1.5961406171158017,19.76241379310345,2.7,PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,0000723531,"1971
"
PAYC,,425.7,1000.3739391304347,1.3499505264985547,81.39739130434783,0.0,PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,0001590955,"1998
"
PNR,,55.15,122.324384,1.218030534904805,15.6026,1.43,PNR,Pentair plc,reports,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,0000077360,"1966
"
PBCT,,15.03,69.20663018867924,3.60456621348498,15.622264150943394,4.86,PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,0001378946,"1842
"
PEP,,139.6,357.02406315789483,1.557478962449103,17.604736842105265,2.91,PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,0000077476,"1898
"
PKI,,147.22,327.23658679245284,1.2227726313846814,28.629622641509428,0.19,PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,0000031791,"1937
"
PRGO,,43.9,127.81181714285715,1.9114309144158808,31.02228571428572,2.07,PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,"0001585364
","2013 (1887)
"
PFE,,34.74,108.30568275862068,2.117607448434677,12.771896551724137,4.48,PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,0000078003,"1849
"
PM,,85.63,250.717616,1.9279179726731284,13.5964,5.58,PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",2008-03-31,"0001413329
","2008 (1847)
"
PNW,,76.66,266.62851666666666,2.478065701365336,12.93685185185185,4.32,PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,0000764622,"1985
"
PXD,,132.35,296.765,1.242274272761617,24.325,1.65,PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,0001038357,"1997
"
PNC,,160.11,575.3822678571429,2.5936685269948336,10.015357142857141,2.9,PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,0000713676,"1845
"
PPG,,137.29,287.0233071428571,1.09063520389582,16.913571428571426,1.54,PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,0000079879,"1883
"
PPL,,27.95,94.8449490909091,2.3933792161327045,10.376909090909091,5.96,PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,"0000922224
","1920
"
POOL,,350.54,680.6297745454544,0.9416607934770764,24.51836363636363,0.65,POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,0000945841,"1993
"
PFG,,54.4,167.7984545454546,2.084530414438503,10.017818181818184,4.14,PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,0001126328,"1879
"
PGR,,86.27,329.82027037037034,2.823116614934164,11.408518518518514,5.34,PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,0000080661,"1937
"
PLD,,107.52,253.0506743589744,1.3535218969398657,27.899743589743586,2.17,PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,0001045609,"1983
"
PEG,,58.73,152.42733333333334,1.5953913388955108,11.417777777777774,3.33,PEG,Public Service Enterprise Group (PSEG),reports,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,"0000788784
","1903
"
PSA,,236.37,795.1682046511627,2.3640826020694785,28.27767441860465,3.44,PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,"0001393311
","1972
"
PHM,,49.2,204.76413428571428,3.161872648083623,11.356857142857141,1.14,PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,"0000822416
","1956
"
QRVO,,168.17,574.0055777777778,2.4132459878562043,46.36555555555557,0.0,QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,0001604778,"2015
"
PWR,,77.17,229.0391886792453,1.9679822298722984,22.65471698113208,0.31,PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,0001050915,"1997
"
QCOM,,145.5,235.20353478260867,0.6165191393993723,16.788260869565214,1.76,QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,0000804328,"1985
"
RJF,,110.84,315.21554999999995,1.8438790147961017,13.898392857142856,1.42,RJF,"Raymond James Financial, Inc.",reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,0000720005,"1962
"
DGX,,123.55,385.5062413793103,2.120244770370783,15.035344827586204,1.84,DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,0001022079,"1967
"
O,,62.5,168.34063157894738,1.6934501052631576,30.496491228070173,4.62,O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,0000726728,"1969
"
REG,,49.54,123.32865454545454,1.4894762726171686,41.38545454545454,4.86,REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,0000910606,"1963
"
REGN,,490.68,3950.797651612903,7.051678592184119,42.24548387096774,0.0,REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,0000872589,"1988
"
RF,,19.48,34.13945853658536,0.7525389392497617,10.872439024390244,3.17,RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,0001281761,"1971
"
RMD,,199.86,493.778275862069,1.470620813880061,28.624827586206894,0.77,RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,0000943819,"1989
"
RSG,,90.52,267.4074807017543,1.9541259467714795,20.242807017543853,1.85,RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,0001060391,"1998 (1981)
"
RHI,,72.19,204.3178836734694,1.8302795909886331,17.50795918367347,1.89,RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,0000315213,"1948
"
ROK,,244.75,476.5443000000001,0.9470655771195102,17.310000000000006,1.73,ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,"0001024478
","1903
"
ROL,,37.92,60.7721875,0.6026420754219409,34.72696428571429,0.57,ROL,"Rollins, Inc.",reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,0000084839,"1948
"
